empty_count,longitude,latitude
509,50.450386085935094,30.524547100067142
12,50.45050063818424,30.52432932092009
891,50.45061519043338,30.524111541773035
700,50.450729742682526,30.52389376262598
559,50.45084429493167,30.523675983478928
217,50.450958847180814,30.523458204331874
206,50.45107339942996,30.52324042518482
719,50.4511879516791,30.523022646037766
637,50.45130250392825,30.522804866890713
749,50.45141705617739,30.52258708774366
258,50.45158184958234,30.52247389776916
353,50.451757508676074,30.522413170763514
999,50.45193316776981,30.522352443757867
654,50.452108826863544,30.52229171675222
395,50.45228448595728,30.522230989746575
47,50.45246014505101,30.52217026274093
56,50.45263580414475,30.522109535735282
650,50.45281146323848,30.522048808729636
520,50.45298712233222,30.52198808172399
566,50.45316278142595,30.521927354718343
151,50.45333844051969,30.521866627712697
854,50.4535017075372,30.521748100680377
637,50.45366497455471,30.521629573648056
41,50.453828241572225,30.521511046615736
928,50.45399150858974,30.521392519583415
879,50.45415477560725,30.521273992551095
450,50.45431804262476,30.521155465518774
731,50.454481309642276,30.521036938486453
203,50.45464457665979,30.520918411454133
774,50.4548078436773,30.520799884421812
112,50.454971110694814,30.520681357389492
854,50.455093555427055,30.520474423051503
812,50.4552160001593,30.520267488713515
128,50.45523090797679,30.51998595727611
148,50.455245815794285,30.519704425838704
666,50.45526072361178,30.5194228944013
456,50.455275631429274,30.519141362963893
571,50.45529053924677,30.518859831526488
143,50.45530544706426,30.518578300089082
395,50.455320354881756,30.518296768651677
370,50.45533526269925,30.51801523721427
442,50.455350170516745,30.517733705776866
883,50.45536507833424,30.51745217433946
448,50.45535571063255,30.517170053920086
575,50.45518133729636,30.517100783785818
763,50.455006963960166,30.51703151365155
23,50.45483259062397,30.51696224351728
944,50.45465821728778,30.516892973383012
208,50.454483843951586,30.516823703248743
865,50.45430947061539,30.516754433114475
748,50.4541350972792,30.516685162980206
508,50.45397769437711,30.51682186381075
233,50.45382029147502,30.516958564641296
632,50.45366288857293,30.51709526547184
510,50.45348323217105,30.517081686354636
630,50.45336278271238,30.51687189126274
843,50.45324233325371,30.51666209617084
889,50.45312188379504,30.516452301078942
114,50.45297828058652,30.516282205294928
162,50.452804445806855,30.516209678584172
880,50.45263061102719,30.516137151873416
523,50.45245677624752,30.51606462516266
897,50.45228294146786,30.515992098451903
767,50.45210910668819,30.515919571741147
8,50.451935271908525,30.51584704503039
609,50.45176143712886,30.515774518319635
631,50.45158760234919,30.51570199160888
45,50.45141376756953,30.515629464898122
373,50.45123993278986,30.515556938187366
522,50.451066098010195,30.51548441147661
455,50.45089226323053,30.515411884765854
472,50.45071842845086,30.515339358055098
861,50.4505445936712,30.51526683134434
458,50.45037075889153,30.515194304633585
327,50.450196924111864,30.51512177792283
678,50.4500230893322,30.515049251212073
268,50.44984925455253,30.514976724501317
287,50.449675419772866,30.51490419779056
207,50.4495015849932,30.514831671079804
280,50.449327750213534,30.514759144369048
209,50.44915391543387,30.514686617658292
634,50.4489800806542,30.514614090947536
546,50.44893464360986,30.51488739159867
239,50.44888920656552,30.515160692249804
663,50.448843769521176,30.515433992900938
899,50.448798332476834,30.515707293552072
51,50.44875289543249,30.515980594203207
626,50.44870745838815,30.51625389485434
831,50.44866202134381,30.516527195505475
176,50.448616584299465,30.51680049615661
56,50.44857114725512,30.517073796807743
359,50.44852571021078,30.517347097458877
812,50.44848027316644,30.51762039811001
470,50.4484348361221,30.517893698761146
378,50.448389399077755,30.51816699941228
317,50.44834396203341,30.518440300063414
920,50.44829852498907,30.51871360071455
754,50.44825308794473,30.518986901365682
775,50.448207650900386,30.519260202016817
251,50.448162213856044,30.51953350266795
388,50.4481167768117,30.519806803319085
183,50.44807133976736,30.52008010397022
763,50.44802590272302,30.520353404621353
877,50.447980465678675,30.520626705272488
318,50.44793502863433,30.52090000592362
670,50.44788959158999,30.521173306574756
292,50.44784415454565,30.52144660722589
188,50.44779871750131,30.521719907877024
587,50.447753280456965,30.52199320852816
18,50.4479216063945,30.52209274810735
802,50.44808993233204,30.522192287686543
278,50.448258258269576,30.522291827265736
433,50.44842658420711,30.52239136684493
865,50.44859491014465,30.52249090642412
507,50.448763236082186,30.522590446003314
821,50.44893156201972,30.522689985582506
502,50.44907610254229,30.52285809923405
754,50.44922064306486,30.523026212885593
7,50.44936518358743,30.523194326537137
118,50.44950972411,30.52336244018868
418,50.44965426463257,30.523530553840224
927,50.44979880515514,30.523698667491768
231,50.44994334567771,30.52386678114331
441,50.450069433207545,30.52406822530458
710,50.450204300386,30.52425511880424